*vertices 8497
94 "Home Furnishings News"
95 "HighPoints"
96 "Executive Technology"
97 "Children's Business"
98 "Supermarket News"
99 "Brand Marketing"
100 "Salon News"
101 "?"
102 "NewsFlash"
103 "Epicurious.com"
104 "Style.com"
107 "WFAA TV- Dallas/Fort Worth (ABC)"
108 "KHOU TV - Houston (CBS)"
109 "KING TV - Seattle (NBC)"
110 "KONG TV - Seattle (Ind)"
111 "KXTV - Sacramento (ABC)"
112 "KMOV TV - St. Louis (CBS)"
113 "KGW TV - Portland (NBC)"
114 "WCNC TV - Charlotte (NBC)"
115 "KENS TV - San Antonio (CBS)"
116 "WVEC TV - Hampton/Norfolk (ABC)"
117 "WWL TV - New Orleans (CBS)"
118 "KASA TV - Albuquerque (FOX)"
119 "WHAS TV - Louisville (ABC)"
120 "KOTV - Tulsa (CBS)"
121 "KHNL TV - Honolulu (NBC)"
122 "KFVE TV - Honolulu (UPN)"
123 "KREM TV - Spokane (CBS)"
124 "KSKN TV - Spokane (UPN)"
125 "KMSB TV - Tucson (FOX)"
126 "KTTU TV - Tucson (UPN)"
127 "KTVB TV - Boise (NBC)"
128 "KVUE TV - Austin (ABC)"
129 "Belo Productions"
130 "Northwest Cable News"
131 "Texas Cable News"
132 "The Hemet News (California)"
133 "The Dallas Morning News"
134 "Providence Journal-Bulletin"
135 "The Press-Enterprise (Riverside, CA)"
136 "Messenger-Inquirer (Owensboro, KY)"
137 "The Eagle (Bryan-College Station, TX)"
138 "The Gleaner (Henderson, KY)"
139 "Denton Publishing Company (greater Dallas area)"
140 "Denton Record-Chronicle"
141 "Lewisville News"
142 "Grapevine Sun"
143 "Dallas Mavericks"
144 "?"
145 "CompuServe Interactive Services"
146 "AOL Instant Messenger"
147 "AOL.com portal"
148 "Digital City"
149 "AOL Europe"
150 "ICQ"
151 "The Knot"
152 "MapQuest.com"
153 "Spinner.com"
154 "DrKoop.com"
155 "Nullsoft"
156 "Netscape Communications"
157 "Netscape Netcenter portal"
158 "AOL MovieFone"
159 "iAmaze"
160 "Quack.com"
163 "AT&T Broadband"
164 "AT&T Cable Services"
165 "AT&T Digital Cable"
166 "Excite@Home"
167 "Net2Phone"
168 "Kearns-Tribune"
169 "Salt Lake Tribune"
170 "Liberty Media"
171 "BET Holdings II"
172 "BET Cable Network"
173 "BET Action Pay-Per-View"
174 "BET on Jazz"
175 "Canales"
176 "Court TV"
177 "Discovery Communications"
178 "Discovery Channel"
179 "The Learning Channel"
180 "Animal Planet"
181 "Discovery People"
182 "Travel Channel"
183 "Discovery Digital Services"
184 "Discovery Civilization"
185 "Discovery Health"
186 "Discovery Home & Leisure"
187 "Discovery Kids"
188 "Discovery Wings"
189 "Discovery en Espanol"
190 "Animal Planet Asia"
191 "Animal Planet Europe"
192 "Animal Planet Latin America"
193 "Discovery Asia"
194 "Discovery India"
195 "Discovery Japan"
196 "Discovery Europe"
197 "Discovery Turkey"
198 "Discovery Germany"
199 "Discovery Italy/Africa"
200 "Discovery Latin America"
201 "Discovery Latin America Kids Network"
202 "People & Arts (Latin America)"
203 "Discovery Channel Online"
204 "Encore Media Group"
205 "Encore"
206 "MOVIEplex"
207 "Thematic Multiplex"
208 "STARZ!"
209 "STARZ! Multiplex"
210 "Love Stories"
211 "Westerns"
212 "Mystery"
213 "Action"
214 "True Stories"
215 "WAM! America's Kidz Network"
216 "STARZ! Theater"
217 "BET Movies/STARZ!"
218 "STARZ! Family"
219 "STARZ! Cinema"
220 "E! Entertainment Television"
221 "Style"
222 "Flextech p.l.c."
223 "Bravo"
224 "Challenge TV"
225 "HSN Direct"
226 "KinderNet"
227 "Living"
228 "SMG"
229 "Trouble"
230 "TV Travel Shop"
231 "UK Arena (UKTV)"
232 "UK Gold (UKTV)"
233 "UK Gold Classics (UKTV)"
234 "UK Horizons (UKTV)"
235 "UK Style (UKTV)"
236 "UK Play (UKTV)"
237 "Fox Kids Worldwide"
238 "International Channel"
239 "Jupiter Programming"
240 "Cable Soft Network"
241 "CNBC Asia"
242 "Golf Network"
243 "?"
244 "J-Sports"
245 "The Shop Channel"
246 "MacNeil/Lehrer Productions"
247 "MultiThematiques"
248 "Canal Jimmy (France)"
249 "Canal Jimmy (Italy)"
250 "Cine Cinemas (France)"
251 "Cine Cinemas (Italy)"
252 "Cine Classics (France)"
253 "Cine Classics (Spain)"
254 "Cine Classics (Italy)"
255 "Forum Planete (France)"
256 "Planete (France)"
257 "Planete (Poland)"
258 "Planete (Germany)"
259 "Planete (Italy)"
260 "Seasons (France)"
261 "Seasons (Spain)"
262 "Seasons (Germany)"
263 "Seasons (Italy)"
264 "Odyssey"
265 "Pramer"
266 "America Sports"
267 "Big Channel"
268 "Canal a"
269 "Cineplaneta"
270 "CV SAT"
271 "Ideas"
272 "Magic Kids"
273 "P&E"
274 "The Premium Movie Partnership"
275 "QVC"
276 "QVC Network"
277 "QVC The Shopping Network (UK)"
278 "QVC Germany"
279 "iQVC"
280 "Telemundo Network"
281 "Telemundo Station Group"
282 "Torneos y Competencias"
283 "?"
284 "TV Guide Channel"
285 "TV Guide Interactive"
286 "TV Guide Sneak Prevue"
287 "UVTV"
288 "Superstar"
289 "TV Guide Magazine"
290 "TV Guide Online"
291 "The Television Games Network"
292 "?"
293 "?"
294 "America's Store"
295 "ISN"
296 "?"
297 "HOT (Germany)"
298 "Shop Channel (Japan)"
299 "Sci-Fi Channel"
300 "USA Network"
301 "USA Broadcasting"
302 "?"
303 "Studios USA"
304 "USA Films"
305 "Hotel Reservations Network"
306 "?"
307 "New England Cable News"
308 "Time Warner Entertainment"
309 "Academic Systems"
310 "ACTV"
311 "Digital Health Group"
312 "DMX"
313 "drugstore.com"
314 "HomeGrocer.com"
315 "iBeam Broadcasting"
316 "Interactive Pictures"
317 "iVillage"
318 "KPCB Java Fund, L.P."
319 "The Lightspan Partnership"
320 "priceline.com"
321 "Quokka Sports"
322 "Sportsline USA"
323 "MTVN Online"
324 "TiVo"
325 "Total Entertainment Network"
326 "PRIMEDIA"
327 "Bresnan International Partners (Chile)"
328 "Metropolis Intercom, S.A."
329 "Cablevision S.A."
330 "Jupiter Telecommunications Co."
331 "Princes Holdings"
332 "Sky Latin America"
333 "Sprint PCS Group"
334 "TCI Cablevision of Puerto Rico"
335 "Telewest Communications plc"
336 "Antec"
337 "General Instrument"
338 "Bantam Doubleday Dell"
339 "Bantam Books"
340 "Doubleday"
341 "Dell - Delacorte"
342 "Broadway Books"
343 "Bantam Doubleday Dell Books for Young Readers"
344 "Bantam Doubleday Audio"
345 "Bantam Books Canada"
346 "Doubleday Canada"
347 "Transworld Publishers"
348 "Doubleday Direct"
349 "Literary Guild"
350 "Doubleday Book Club"
351 "Crossings"
352 "Random House"
353 "Random House Trade Publishing Group"
354 "Random House Information Publishing Group"
355 "Knopf Publishing Group"
356 "Crown Publishing Group"
357 "Ballantine Publishing Group"
358 "Random House Children's Publishing"
359 "Random House Audio"
360 "Random House Value Publishing"
361 "Fodors Travel Publications"
362 "Random House New Media"
363 "Random House Canada"
364 "Random House U.K."
365 "Random House Australia"
366 "Random House New Zealand"
367 "Random House South Africa"
368 "Bee Book"
369 "Bertelsmann Lexikon Verlag"
370 "Donauland"
371 "Science Fiction Book Club"
372 "Bold Type"
373 "BOL"
374 "ABI Building Data"
375 "AZ Bertelsmann"
376 "BauNetz"
377 "Entertainment Media Verlag"
378 "Gabler/Vieweg/Westdeutscher Verlag"
379 "ICW Publications"
380 "MMV Medizin Verlag"
381 "Verkehr Online"
382 "Heinrich Vogel Verlag"
383 "Wila Verlag"
384 "Springer Verlag"
385 "CLT-UFA"
386 "RTL"
387 "RTL-2"
388 "SUPER RTL"
389 "Premiere World"
390 "VOX"
391 "Channel 5"
392 "FUN TV"
393 "M6"
394 "Multivision"
395 "Teva"
396 "RTL - 4"
397 "RTL - 5"
398 "RTL - 9"
399 "RTL - Tele Letzebuerg"
400 "RTL Klub"
401 "UFA Film & TV Production"
402 "Trebitsch Production"
403 "Delux Productions"
404 "Cinevideo"
405 "Holland Media House"
406 "First Choice"
407 "RTL Radio"
408 "Gruner + Jahr"
409 "Brigitte"
410 "Capital"
411 "Eltern"
412 "Frau im Spiegel"
413 "Schoner Wohnen"
414 "Der Spiegel"
415 "Flora"
416 "Geo"
417 "Geo Saison"
418 "Oskar's"
419 "P.M. Magazine"
420 "Stern"
421 "Tip"
422 "TV Today"
423 "American Homestyle"
424 "Child"
425 "Fitness"
426 "Computer & Co."
427 "rtv"
428 "AOL Germany"
429 "AOL France"
430 "bs medic"
431 "Sport 1"
432 "Lycos Europe"
433 "CD Now"
434 "Bertelsmann Interactive Studios"
435 "Bertelsmann mediaSystems"
436 "Bertelsmann Corporate Information Systems"
437 "mediaWays"
438 "Pixelpark"
439 "Telemedia"
440 "Services"
441 "eps Bertelsmann"
442 "Mount Media"
443 "Bertelsmann Music Group (BMG)"
444 "BMG North America"
445 "Arista Records"
446 "RCA"
447 "RCA Victor"
448 "BMG Classics"
449 "BMG Music Publishing"
450 "BMG Music Service"
451 "BMG Special Products"
452 "Windham Hill Group"
453 "Bugjuice"
454 "Peeps Republic"
455 "Twang This!"
456 "BMG Austria"
457 "BMG Australia"
458 "BMG Canada"
459 "BMG Germany"
460 "BMG Germany Interactive"
461 "BMG Germany Studios"
462 "BMG Germany Video"
463 "BMG Hongkong"
464 "BMG United Kingdom"
465 "Sonopress"
466 "Cablevision Cable System"
467 "Optimum TV"
468 "Cablevision Lightpath"
469 "Optimum Telephone"
470 "Optimum Online"
471 "Rainbow Media Holdings"
472 "American Movie Classics"
473 "?"
474 "Independent Film Channel"
475 "MuchMusic"
476 "News 12"
477 "News 12 Long Island"
478 "News 12 Connecticut"
479 "News 12 Westchester"
480 "News 12 New Jersey"
481 "News 12 The Bronx"
482 "Neighborhood News 12"
483 "Romance Classics"
484 "extrahelp"
485 "Regional Programming Partners"
486 "Fox Sports Bay Area"
487 "Fox Sports Chicago"
488 "Fox Sports New England"
489 "Fox Sports New York"
490 "Fox Sports Ohio"
491 "Madison Square Garden Network"
492 "MSG Metro Learning"
493 "MSG Metro Guide"
494 "MSG Metro Traffic and Weather"
495 "Radio City Productions"
496 "Madison Square Garden Properties"
497 "New York Knicks"
498 "New York Rangers"
499 "New York Liberty (WNBA)"
500 "New England Seawolves"
501 "Hartford Wolf Pack"
502 "Radio City Music Hall"
504 "Nobody Beats the Wiz"
505 "EZSeek"
506 "The News Courier (Athens, Alabama)"
507 "The North Jefferson News (Gardendale, Alabama)"
508 "The Leeds News (Alabama)"
509 "St. Clair News (Alabama)"
510 "The Cullman Times (Alabama)"
511 "Harrison Daily Times (Arkansas)"
512 "Newton County Times (Arkansas)"
513 "Boca Raton News (Florida)"
514 "Busy Shopper (Fort Ogelthorpe, Georgia)"
515 "The Daily Citizen News (Dalton, Georgia)"
516 "Monroe County Register (Georgia)"
517 "Jackson Progress-Argus (Georgia)"
518 "Clayton News Daily (Jonesboro, Georgia)"
519 "The Madisonian (Georgia)"
520 "The Henry Daily Herald (McDonough, Georgia)"
521 "Union-Recorder (Milledgeville, Georgia)"
522 "The Thomaston Times (Georgia)"
523 "Americus Times-Recorder (Georgia)"
524 "Cordele Dispatch (Georgia)"
525 "The (Moultrie) Observer (Georgia)"
526 "Thomasville Times-Enterprise (Georgia)"
527 "The Tifton Gazette (Georgia)"
528 "The Valdosta Daily Times (Georgia)"
529 "Commercial-News (Danville, Illinois)"
530 "Bourbon News-Mirror (Indiana)"
531 "Bremen Enquirer (Indiana)"
532 "Culver Citizen (Indiana)"
533 "The Jeffersonville Evening News (Indiana)"
534 "The Leader & Review (Knox, Indiana)"
535 "Nappanee Advance News (Indiana)"
536 "Pilot News (Plymouth, Indiana)"
537 "Washington Times Herald (Indiana)"
538 "The Tribune (New Albany, Indiana)"
539 "Penny Saver Times (South Bend, Indiana)"
540 "The (Anderson) Herald-Bulletin (Indiana)"
541 "Greensburg Daily News (Indiana)"
542 "The Kokomo Tribune (Indiana)"
543 "The (Lebanon) Reporter (Indiana)"
544 "Linton Daily Citizen (Indiana)"
545 "Pharos-Tribune (Logansport, Indiana)"
546 "Rushville Republican (Indiana)"
547 "The (Terre Haute) Tribune-Star (Indiana)"
548 "Alta Advertiser (Iowa)"
549 "Clinton Herald (Iowa)"
550 "Oskaloosa Herald (Iowa)"
551 "Ad Express & Daily Lowegian (Centerville, Iowa)"
552 "Aurelia Sentinel (Iowa)"
553 "Cherokee County Daily Times (Iowa)"
554 "Knoxville Journal Express (Iowa)"
555 "Lake Park News (Iowa)"
556 "Milford Mail (Iowa)"
557 "Pella Chronicle (Iowa)"
558 "Sioux Rapids Bulletin Press (Iowa)"
559 "The Daily Reporter (Spencer, Iowa)"
560 "Sprit Lake Beacon (Iowa)"
561 "Pilot Tribune (Storm Lake, Iowa)"
562 "The Coffeyville Journal (Kansas)"
563 "Kiowa County Signal (Kansas)"
564 "Carlisle Mercury (Kentucky)"
565 "Corbin Times Tribune (Kentucky)"
566 "The Cumberland Trading Post (Middlesboro, Kentucky)"
567 "Glasgow Daily Times (Kentucky)"
568 "Grayson Journal Enquirer (Kentucky)"
569 "Grayson County News Gazette (Kentucky)"
570 "Greenup News Times (Kentucky)"
571 "Harlan Daily Enterprise (Kentucky)"
572 "The Hazard Herald (Kentucky)"
573 "Hazard Shopper (Kentucky)"
574 "The Sentinel-Echo (London, Kentucky)"
575 "McCreary County Record (Kentucky)"
576 "The Daily News (Middlesboro, Kentucky)"
577 "Morehead News (Kentucky)"
578 "Olive Hill Times (Kentucky)"
579 "The Floyd County Times (Kentucky)"
580 "Pratt Tribune (Kentucky)"
581 "The Richmond Register (Kentucky)"
582 "The Times Journal (Russell Springs, Kentucky)"
583 "News Democrat & Leader (Russellville, Kentucky)"
584 "Commonwealth Journal (Somerset, Kentucky)"
585 "Wayne County Outlook (Kentucky)"
586 "The Cumberland Times-News (Maryland)"
587 "Picayune Item (Mississippi)"
588 "The Poplarville Democrat (Mississippi)"
589 "The Star Herald (Kosciusdo, Mississippi)"
590 "The Laurel Leader (Mississippi)"
591 "The Newton Record (Mississippi)"
592 "Wayne County News (Mississippi)"
593 "Chadron Record (Nebraska)"
594 "Custer County Chief (Nebraska)"
595 "Alamogordo Daily News (New Mexico)"
596 "Albion Advertiser (New York)"
597 "Union-Sun & Journal (Lockport, New York)"
598 "The Journal Register (Medina, New York)"
599 "Niagara Gazette (New York)"
600 "Tonawanda News (New York)"
601 "The Stanly News & Press (Albemarle, North Carolina)"
602 "The Apex Herald (North Carolina)"
603 "The Progress (Apex, North Carolina)"
604 "The Randolph Guide (Asbeboro, North Carolina)"
605 "The Sampson Independent (Clinton, North Carolina)"
606 "Bladen Journal (Elizabethtown, North Carolina)"
607 "The Independent (Fuquay-Varina, North Carolina)"
608 "Holly Springs Sun (Fuquay-Varina, North Carolina)"
609 "Cleveland Post (Garner, North Carolina)"
610 "Garner News (North Carolina)"
611 "The King Times - News (North Carolina)"
612 "The Robesonian (Lumberton, North Carolina)"
613 "The Bulletin (Ramseur, North Carolina)"
614 "The Randleman Reporter (North Carolina)"
615 "The Weekly Independent (Rural Hall, North Carolina)"
616 "Daily Southerner (Tarboro, North Carolina)"
617 "Danbury Reporter (Walnut Cove, North Carolina)"
618 "The Enterprise (Yadkinville, North Carolina)"
619 "Yadkin Valley Shopper (North Carolina)"
620 "Gallipolis Daily Tribune (Ohio)"
621 "The Daily Sentinel (Pomeroy, Ohio)"
622 "The Star Beacon (Astabula, Ohio)"
623 "Ada Evening News (Oklahoma)"
624 "Altus Times (Oklahoma)"
625 "The Antlers American (Oklahoma)"
626 "Blackwell Journal Tribune (Oklahoma)"
627 "Bristow News - Recorder Citizen (Oklahoma)"
628 "Chickasha Daily Express (Oklahoma)"
629 "Claremore Daily Progress (Oklahoma)"
630 "Cushing Daily Citizen (Oklahoma)"
631 "Duncan Banner (Oklahoma)"
632 "Durant Daily Democrat (Oklahoma)"
633 "Edmond Evening Sun (Oklahoma)"
634 "Enid News & Eagle (Oklahoma)"
635 "Indian Journal (Eufaula, Oklahoma)"
636 "Lake Eufaula World (Oklahoma)"
637 "Fort Gibson Times (Oklahoma)"
638 "Frederick Leader (Oklahoma)"
639 "Guthrie News Leader (Oklahoma)"
640 "Guymon Daily Herald (Oklahoma)"
641 "Hartshorne Sun (Oklahoma)"
642 "Henryetta Daily Free-Lance (Oklahoma)"
643 "Holdenville Daily News (Oklahoma)"
644 "Jay American (Oklahoma)"
645 "News-Capital & Democrat (McAleste, Oklahoma)"
646 "Macintosh County Democrat (Oklahoma)"
647 "MC&D Extra (McAlester, Oklahoma)"
648 "Mid West City Sun (Oklahoma)"
649 "Minstrel (Minco, Oklahoma)"
650 "Moore American (Oklahoma)"
651 "Nowata Star (Oklahoma)"
652 "The Norman Transcript (Oklahoma)"
653 "Metro Buyer's Guide (Oklahoma City, Oklahoma)"
654 "Okmulgee Daily Times (Oklahoma)"
655 "Pauls Valley Daily Democrat (Oklahoma)"
656 "Poteau News & Sun (Oklahoma)"
657 "Jeffersonian Printing (Pryor, Oklahoma)"
658 "Pryor Daily Times (Oklahoma)"
659 "Sapulpa Daily Herald (Oklahoma)"
660 "Herald Extra (Sapulpa, Oklahoma)"
661 "News-Press (Stillwater, Oklahoma)"
662 "Stilwell Democrat Journal (Oklahoma)"
663 "Tahlequah Daily Press (Oklahoma)"
664 "The Tuttle Times (Oklahoma)"
665 "Waurika News-Democrat (Oklahoma)"
666 "Westville Reporter (Oklahoma)"
667 "Wewoka Daily Times (Oklahoma)"
668 "Woodward News (Oklahoma)"
669 "Corry Evening Journal (Pennsylvania)"
670 "Tribune Democrat (Johnstown, Pennsylvania)"
671 "Kane Republican (Pennsylvania)"
672 "The Meadville Tribune (Pennsylvania)"
673 "Punxsutawney Sprit (Pennsylvania)"
674 "Ridgway Record (Pennsylvania)"
675 "St. Mary's Daily Press (Pennsylvania)"
676 "Titusville Herald (Pennsylvania)"
677 "New Castle News (Pennsylvania)"
678 "Warren County Guide (Pennsylvania)"
679 "The Dispatch - News (South Carolina)"
680 "Marion Star/Mullins Enterprise (South Carolina)"
681 "The Newberry Observer (South Carolina)"
682 "The Herald Independent (Winnsboro, South Carolina)"
683 "Hot Springs Star (South Dakota)"
684 "Clarborne Progress (Tazewall, Tennessee)"
685 "Crossville Chronicle (Tennessee)"
686 "Macon County Times (Tennessee)"
687 "The Millington Star (Tennessee)"
688 "Athens Daily Review (Texas)"
689 "Big Spring Herald (Texas)"
690 "Bonham Daily Favorite (Texas)"
691 "Borger News-Herald (Texas)"
692 "Cedar Creek Pilot (Gun Barrel City, Texas)"
693 "Cleburne Times Review (Texas)"
694 "Commerce Journal (Texas)"
695 "Corsicana Daily Sun (Texas)"
696 "The Daily Record (San Marcos, Texas)"
697 "Del Rio News Herald (Texas)"
698 "Gainesville Daily Register (Texas)"
699 "Herald Banner (Greenville, Texas)"
700 "Honey Grove Signal Citizen (Texas)"
701 "The Huntsville Item (Texas)"
702 "Jacksonville Daily Progress (Texas)"
703 "Kilgor News Herald (Texas)"
704 "Mexia Daily News (Texas)"
705 "Mineral Wells Index (Texas)"
706 "Orange Leader (Texas)"
707 "Palo Pinto County Shopper (Texas)"
708 "Palestine Herald Press (Texas)"
709 "Port Arthur News (Texas)"
710 "Sweetwater Reporter (Texas)"
711 "Parker County Shopper (Texas)"
712 "The Weatherford Democrat (Texas)"
713 "Times West Virginian (Fairmont, West Virginia)"
714 "The Logan Banner (West Virginia)"
715 "Coal Valley News (Madison, West Virginia)"
716 "Point Pleasant Register (West Virginia)"
717 "The Jackson Star News (West Virginia)"
718 "Jackson-Herald (Ripley, West Virginia)"
719 "The (Beckley) Register-Herald (West Virginia)"
720 "Bluefield Daily Telegraph (West Virginia)"
721 "WENN-FM (Birmingham, Alabama)"
722 "WERC-AM (Birmingham, Alabama)"
723 "WMJJ-FM (Birmingham, Alabama)"
724 "WDXB-FM (Birmingham, Alabama)"
725 "WQEN-FM (Birmingham, Alabama)"
726 "WAAX-AM (Gadsden, Alabama)"
727 "WGMZ-FM (Gadsden, Alabama)"
728 "WBHP-AM (Huntsville, Alabama)"
729 "WDRM-FM (Huntsville, Alabama)"
730 "WHOS-AM (Huntsville, Alabama)"
731 "WTAK-FM (Huntsville, Alabama)"
732 "WWXQ-FM (Huntsville, Alabama)"
733 "WXQW-FM (Huntsville, Alabama)"
734 "WDWG-FM (Mobile, Alabama)"
735 "WKSJ-AM (Mobile, Alabama)"
736 "WMXC-FM (Mobile, Alabama)"
737 "WNTM-AM (Mobile, Alabama)"
738 "WRKH-FM (Mobile, Alabama)"
739 "WMCZ-FM (Montgomery, Alabama)"
740 "WQLD-FM (Montgomery, Alabama)"
741 "WZHT-FM (Montgomery, Alabama)"
742 "WACT-AM (Tuscaloosa, Alabama)"
743 "WRTR-FM (Tuscaloosa, Alabama)"
744 "WTXT-FM (Tuscaloosa, Alabama)"
745 "WZBQ-FM (Tuscaloosa, Alabama)"
746 "KASH-FM (Anchorage, Alaska)"
747 "KBFX-FM (Anchorage, Alaska)"
748 "KENI-AM (Anchorage, Alaska)"
749 "KGOT-FM (Anchorage, Alaska)"
750 "KTZN-AM (Anchorage, Alaska)"
751 "KYMG-FM (Anchorage, Alaska)"
752 "KAKQ-FM (Fairbanks, Alaska)"
753 "KIAK-AM (Fairbanks, Alaska)"
754 "KIAK-FM (Fairbanks, Alaska)"
755 "KKED-FM (Fairbanks, Alaska)"
756 "KESZ-FM (Phoenix, Arizona)"
757 "KMXP-FM (Phoenix, Arizona)"
758 "KNIX-FM (Phoenix, Arizona)"
759 "KZZP-FM (Phoenix, Arizona)"
760 "KFYI-AM (Phoenix, Arizona)"
761 "KGME-FM (Phoenix, Arizona)"
762 "KOY-AM (Phoenix, Arizona)"
763 "KYOT-FM (Phoenix, Arizona)"
764 "KCEE-AM (Tucson, Arizona)"
765 "KNST-AM (Tucson, Arizona)"
766 "KRQQ-FM (Tucson, Arizona)"
767 "KWFM-FM (Tucson, Arizona)"
768 "KBLU-AM (Yuma, Arizona)"
769 "KTTI-FM (Yuma, Arizona)"
770 "KYJT-FM (Yuma, Arizona)"
771 "KDDK-FM (Little Rock, Arkansas)"
772 "KMJX-FM (Little Rock, Arkansas)"
773 "KOLL-FM (Little Rock, Arkansas)"
774 "KQAR-FM (Little Rock, Arkansas)"
775 "KSSN-FM (Little Rock, Arkansas)"
776 "KEZA-FM (Fayetteville, Arkansas)"
777 "KJEM-FM (Fayetteville, Arkansas)"
778 "KKIX-FM (Fayetteville, Arkansas)"
779 "KMXF-FM (Fayetteville, Arkansas)"
780 "KMAG-FM (Ft. Smith, Arkansas)"
781 "KWHN-AM (Ft. Smith, Arkansas)"
782 "KZBB-FM (Ft. Smith, Arkansas)"
783 "KKBD-FM (Ft. Smith, Arkansas)"
784 "KEZY-AM (Anaheim, California)"
785 "KSPE-FM (Ellwood, California)"
786 "KAVL-AM/FM (Lancaster, California)"
787 "KAVS-FM (Lancaster, California)"
788 "KYHT-FM (Lancaster, California)"
789 "KACD-FM (Los Angeles, California)"
790 "KAVL-AM (Los Angeles, California)"
791 "KAVS-FM (Los Angeles, California)"
792 "KIIS-FM (Los Angeles, California)"
793 "KBCD-FM (Los Angeles, California)"
794 "KXTA-AM (Los Angeles, California)"
795 "KOST-FM (Los Angeles, California)"
796 "KFI-AM (Los Angeles, California)"
797 "KYSR-FM (Los Angeles, California)"
798 "KBIG-FM (Los Angeles, California)"
799 "KCMG-FM (Los Angeles, California)"
800 "KLAC-AM (Los Angeles, California)"
801 "KDON-AM/FM (Monterey, California)"
802 "KOCN-FM (Monterey, California)"
803 "KRQC-FM (Monterey, California)"
804 "KTOM-AM/FM (Monterey, California)"
805 "KCKC-AM (San Bernardino, California)"
806 "KGB-FM (San Diego, California)"
807 "KHTS-FM (San Diego, California)"
808 "KIOZ-FM (San Diego, California)"
809 "KJQY-FM (San Diego, California)"
810 "KMSX-FM (San Diego, California)"
811 "KOGO-AM (San Diego, California)"
812 "KPOP-AM (San Diego, California)"
813 "KSDO-AM (San Diego, California)"
814 "XHRM-FM (San Diego, California)"
815 "XTRA-FM (San Diego, California)"
816 "KXJO-FM (San Francisco, California)"
817 "KCNL-FM (San Jose, California)"
818 "KFJO-FM (San Jose, California)"
819 "KLDZ-FM (San Jose, California)"
820 "KSJO-FM (San Jose, California)"
821 "KUFX-FM (San Jose, California)"
822 "KIST-FM (Santa Barbara, California)"
823 "KSBL-FM (Santa Barbara, California)"
824 "KTMS-AM (Santa Barbara, California)"
825 "KTYD-FM (Santa Barbara, California)"
826 "KXXT-AM (Santa Barbara, California)"
827 "KBET-AM (Santa Clarita, California)"
828 "KLYF-AM (Thousand Oaks, California)"
829 "KFJO-FM (Walnut Creek, California)"
830 "KYHT-FM (Yermo, California)"
831 "KBCO-FM (Denver, Colorado)"
832 "KBPI-FM (Denver, Colorado)"
833 "KHIH-FM (Denver, Colorado)"
834 "KHOW-AM (Denver, Colorado)"
835 "KOA-AM (Denver, Colorado)"
836 "KRFZ-FM (Denver, Colorado)"
837 "KTCL-FM (Denver, Colorado)"
838 "KTLK-AM (Denver, Colorado)"
839 "KCOL-AM (Fort Collins, Colorado)"
840 "KGLL-FM (Fort Collins, Colorado)"
841 "KIIX-AM (Fort Collins, Colorado)"
842 "KPAW-FM (Fort Collins, Colorado)"
843 "WAVZ-AM (New Haven, Connecticut)"
844 "WELI-AM (New Haven, Connecticut)"
